vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to
TOMOROWLAND,Drugs and Chemicals,Stimulants,Meth,Meth,1g purest meth crystal shards (methamphetamine),60.00,United States,United States
OrganicValley,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,7.5 Gram Organic Hawaiian Magic Mushrooms (Whole),59.40,United Kingdom,Worldwide
kandykones,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,1g Cali Import Lemon Haze Shake/Dust - UK ONLY,2.82,United Kingdom,United Kingdom
Everylittlehalps,Drugs and Chemicals,Psychedelics,LSD,LSD,💎 5x LSD TABS 300UG 💎 UK-UK,34.58,United Kingdom,United Kingdom
EUCarder,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,"3.5G ""White Lotus"" 93% Colombian Cocaine",400.00,United States,United States
boomshankar,Drugs and Chemicals,Stimulants,TMA,TMA,5 press pills 200 mg TMA    uk-WW no,40.00,United Kingdom,Worldwide
shorestore,Drugs and Chemicals,Opiates,Heroin,Heroin,"12,5_GR UNCUT 100% PURE HEROIN / PERFECT  RESALE",575.21,Germany,Worldwide
SpeedFreek,Drugs and Chemicals,Stimulants,,Stimulants,SPEED PASTE 72% AMPHETAMINE 100 GRAM FOR 100 EURO,121.10,Netherlands,Worldwide
JOYinc,Drugs and Chemicals,Ecstasy,MDMA,MDMA,1G DUTCH MDMA CHAMPAGNE MOONROCK (85-87% purity),100.00,United States,United States
inc,Drugs and Chemicals,Opiates,Heroin,Heroin,HEROIN 7G - AFGHAN #3 DOUBLE KOI STAMP - INC.,023.22,Australia,Australia
hollandgottalent,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,10 GRAM HEROIN 100% PURE AFGHAN,460.17,Germany,Worldwide
TheBodyShop,Drugs and Chemicals,Weight Loss,,Weight Loss,ORLISTAT (Xenical) Orlijohn 120mg 50 tabs,34.00,India,Worldwide
ScotchAndCoca,Drugs and Chemicals,Stimulants,Meth,Meth,1 gram Crystal Meth (98%),47.23,Netherlands,Worldwide
ChuckNorrisTeam,Drugs and Chemicals,,,Drugs and Chemicals,7G Turk Hashish Light to medium/Low Quality 2/5,25.41,United Kingdom,Worldwide
PitStopUK,Drugs and Chemicals,Psychedelics,LSD,LSD,3x LSD 250UG IMPORT AAA+ - UK STOCK,35.29,United Kingdom,United Kingdom
TopShellNL,Drugs and Chemicals,Stimulants,,Stimulants,2.5g 4-MMC 4MMC Mephedrone (FREE WW SHIP),60.55,Netherlands,Worldwide
roadrunna,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,1g | S-ISOMER KETAMINE  [20% Off @Checkout],74.02,Canada,Canada
Narco24,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,5g Dry Sift Hash,48.44,Germany,Europe
MycoGrade,Drugs and Chemicals,Cannabis & Hash,Prerolls,Prerolls,SPECIAL! Hashish Pre-roll $8,8.00,United States,United States
greetarantino,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Mandarin Cookies 7g + Red Diesel 7g sale,115.00,,United States
TheRxPharma,Drugs and Chemicals,,,Drugs and Chemicals,60 Tapentadol 100mg175$ EXPRESS BUYNOW !!,175.00,United States,United States
NarcoticsWorldwide,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,25 GRAMS || MOROCCAN HASH || SOFT & STRONG,272.47,Germany,Worldwide
VanVelzen,Drugs and Chemicals,Stimulants,Speed,Speed,50 GRAM Apmhetamin-Speed Wet-Paste,48.44,Netherlands,Worldwide
HappyChef,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,10g classic Bubble Hash/hashish,115.00,United States,United States
SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,Super Testosterone – 450 mg/ml/ 10 ml – exp. 2023,90.82,Netherlands,Worldwide
Discover,Drugs and Chemicals,Stimulants,Adderal,Adderal,Adderall | 30MG IR Tabs x100,100.00,United States,United States
gbmessicocaine,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,- 3 gram -STRONG SOCIABLE COCAINE COMES AS ROCK,177.84,United Kingdom,Worldwide
HeinekenExpress,Drugs and Chemicals,Psychedelics,2C-B,2C-B,Yellow Pikachu - 20mg,4.54,Netherlands,Worldwide
fadedfork,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,14g mimosa EVO,162.31,United Kingdom,Worldwide
mollymob,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,50 grams of Colombian Cocaine - Uncut,209.06,Netherlands,Worldwide
CafeNero,Drugs and Chemicals,,,Drugs and Chemicals,7G Top QUALITY Ketamine USA-USA,450.00,United States,United States
EUROSHOPPER,Drugs and Chemicals,Stimulants,Speed,Speed,10kg Dutch Speed Amphetamine +70%,320.64,Germany,Europe
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Sample 0.4g AMNESIA HAZE CALI IMPORT AAA++ - UK,1.41,United Kingdom,United Kingdom
ROCKO,Drugs and Chemicals,Accessories,,Accessories,"List Of Cardable Sites (20,000+) 2021 NEW",3.99,,
dmsoldiersndd,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,5x Viagras sildefinal 100mg*6.45pm last orders*,8.47,United Kingdom,Worldwide
bestgroup,Drugs and Chemicals,Steroids,,Steroids,TESTOSTERON SUBLINGUAL DROPS 40 MG/ML MONSTELAB,55.00,,Worldwide
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,3.5g Rainbow Haze AAAA++ - UK,59.28,United Kingdom,United Kingdom
tomandjerry,Drugs and Chemicals,Psychedelics,DMT,DMT,2 grams DMT [Freebase],199.00,Netherlands,Worldwide
DopeSeller,Drugs and Chemicals,Psychedelics,LSD,LSD,* LSD - VENDETTA Print - 250ug - 100x 125 EURO,151.37,Netherlands,Europe
TheMedicalGuy,Drugs and Chemicals,Benzos,Pills,Pills,2500 xanax s903 3mg,500.00,United States,United States
benisupplies,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,Charas Temple ball 200g,210.97,Spain,Worldwide
DarkPost,Drugs and Chemicals,,,Drugs and Chemicals,"25 - 9.5""x12.5"" USPS envelopes w/ tracking",5.00,United States,United States
StrainPirate,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,"2x Medicated ""Enjoyable"" Snickerdoodle Cookie",44.00,United States,United States
stealthmedsuk,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,tramadol 50mg x 20 capsules.,33.87,United Kingdom,United Kingdom
SuperLab,Drugs and Chemicals,Stimulants,Meth,Meth,Uncut Lab Ephedrine Meth 3 Grams,149.00,United States,United States
gblSupply,Drugs and Chemicals,,,Drugs and Chemicals,Pregabalin 300mg,54.49,Germany,Germany
mythbusters,Drugs and Chemicals,Ecstasy,Pills,Pills,5.000x XTC: SIXNINE / 6IX9INE 270mg,541.13,Germany,Worldwide
QUICKDRUGSUK,Drugs and Chemicals,,,Drugs and Chemicals,0.5G 90% COLOMBIAN UNCUT COCAINE POWERFUL,63.51,United Kingdom,Worldwide
California420Service,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,BUBBA KUSH AAA Cannabis HP 224G,350.00,United States,Worldwide
GrowersOasis,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Mandarina Half OZ  14g,80.00,United States,United States
dmtking,Drugs and Chemicals,Psychedelics,DMT,DMT,250MG DMT ( WHITE DREAM  +250 MG GOLDEN DREAM,31.49,,Worldwide
ROCKO,Drugs and Chemicals,Accessories,,Accessories,"List Of Cardable Sites (20,000+) 2021 NEW",3.99,,
CafeNero,Drugs and Chemicals,Opiates,Heroin,Heroin,2G Top Quality Black Tar Heroin BTH,310.00,United States,United States
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,20ml GUMMY BEAR THC VAPE JUICE NDDuk,98.80,United Kingdom,United Kingdom
Daddyissues,Drugs and Chemicals,Stimulants,Meth,Meth,Meth 1/2oz  **AUZI NZ WW SHIPPING!!***,380.00,United States,Worldwide
TheBestOfHolland,Drugs and Chemicals,Dissociatives,GHB,GHB,500ml | BASF® GHB | 712mg/ml,180.00,,Worldwide
pluguk,Drugs and Chemicals,,,Drugs and Chemicals,1 PACK GUMMY BEAR {{NICE MELLOW HIGH  }} £4,5.65,United Kingdom,Worldwide
inc,Drugs and Chemicals,Ecstasy,MDMA,MDMA,MDMA 7G - BLACK BELGIUM IMPORT - INC.,531.82,Australia,Australia
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,125g Purple Cookies Dust/Shake  AAA++ - UK Vendor,493.99,United Kingdom,United Kingdom
LucySkyDiamonds,Drugs and Chemicals,Psychedelics,LSD,LSD,10 ELMO LSD tab 50 micro grams,25.00,United Kingdom,Worldwide
DeutscherHanfverband,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,10g Blueberry A+++ 20% Thc,146.53,Germany,Germany
WhiteRepublic,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1g Cocaine AAA+++,119.99,United States,United States
StrainPirate,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,"2x Medicated ""Enjoyable"" Goldfish",44.00,United States,United States
sinsemillastreet,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,3g PAKISTANI CHARAS IMPORT sticky black,54.49,Spain,Europe
worlwidegrind_official,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,7g G13 weed TOP NOTCH AAA+++ check photos,133.21,Germany,Worldwide
OzLotto,Drugs and Chemicals,Ecstasy,MDMA,MDMA,Premium Crystal MDMA,92.49,Australia,Australia
SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,Masteron Enanthate -200 mg/ml/10 ml –SP -exp. 2023,90.82,Netherlands,Worldwide
TheGreenGiant,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,Medisinsk Vape - Full Spektrum - BHO - 1ml,168.11,Norway,Norway
kenza,Drugs and Chemicals,Steroids,,Steroids,British Dragon Testabol Enanthate 250mg/ml x 10,56.46,United Kingdom,Worldwide
BestBudz,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,"CALI WEED 2 x 3,5gr STRAWBERRY LEMONADE SELFMADE",230.08,Germany,Germany
Coffeshop,Drugs and Chemicals,Opiates,Heroin,Heroin,100 GRAM*** HEROINE FROM IRAN HQ,058.64,Germany,Worldwide
JAPAN_HIGH,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,50g ミナミシビレタケ　手挽いたパウダー  Cubensis powder Hand grind,750.00,Japan,Japan
kenza,Drugs and Chemicals,Steroids,,Steroids,Geleneka Testosterone Depo Enanthate 250mg/ml x 5,28.23,United Kingdom,Worldwide
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1g Wedding Cake REAL CALI IMPORT - UK,42.34,United Kingdom,United Kingdom
MEDS4UK,Drugs and Chemicals,Benzos,Pills,Pills,Bensedin Diazepam 10mg x 1 box (30tabs),28.23,United Kingdom,Europe
theworldisyours6,Drugs and Chemicals,,,Drugs and Chemicals,3.5g Critical Bilbo 28% THC,32.70,,Worldwide
globalcokeuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,- 0.5 gram -  NOTORIOUS SOCIABLE COCAINE,49.40,United Kingdom,Worldwide
SmartStore,Drugs and Chemicals,Benzos,,Benzos,Ksalol (Xanax Alprazolam/Galenika) 60 tabs x 1 mg,42.38,Bulgaria,"Europe, Oceania"
NewAmsterdam,Drugs and Chemicals,Ecstasy,Pills,Pills,250x - XTC GRENADES 300MG MDMA - SUPERSTRONG PILLS,363.29,Netherlands,Europe
topmoneymaker,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,10 x Kushy Punch Gummies,149.00,United States,United States
vessel,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,28G - INDOOR ANIMAL COOKIES TRIM - SHAKE - BUDS,29.00,United States,United States
auspride,Drugs and Chemicals,,,Drugs and Chemicals,10 Blotters of 275mcg Premium Dutch Import LSD,93.26,Australia,Australia
Mont-Blanc,Drugs and Chemicals,Stimulants,Meth,Meth,100 gr Premium Crystal METH | ❄️ ICE 96% pure 🇩🇪,603.58,Germany,Europe
mdacanada,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,TEC (same percocet)  perfect copy 1000 x TEC,523.60,Canada,Canada
Daddyissues,Drugs and Chemicals,Stimulants,Meth,Meth,*High-quality Crystal 14 gram SHARDS 97%,220.00,United States,United States
drogenmeister,Drugs and Chemicals,Stimulants,,Stimulants,1- 1000 GR * Highest quality Mephedrone (4MMC),0.01,Germany,"Germany, Spain, France, Greece, Croatia, Italy, Netherlands, Portugal"
BettyBopped,Drugs and Chemicals,Benzos,Pills,Pills,[1500x for $900] GG249 Xanax - 2.5mg,900.00,United States,North America
jnenfrancis,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,28G PP200 HASH **FREE UK DELIVERY**,290.40,United Kingdom,Worldwide
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,3.5g - StarDawg HQ NDD UK2UK,42.34,United Kingdom,United Kingdom
TheMedicalGuy,Drugs and Chemicals,Benzos,Pills,Pills,1000 xanax s903 3mg,625.00,United States,United States
mythbusters,Drugs and Chemicals,Ecstasy,Pills,Pills,10.000x XTC: ShyGuy 270mg,597.87,Germany,Worldwide
allinshop,Drugs and Chemicals,Steroids,,Steroids,Anadrol 100tab/25mg RoyalLab -exp 2024-,72.66,Germany,Europe
Pharma_UK,Drugs and Chemicals,Opiates,,Opiates,Tillomed Tramadol. 50mg X 50 Tabs. Pharmacy Grade,91.74,United Kingdom,Europe
DiscountWeedCo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,FIRESALE! 1 OUNCE FORBIDDEN FRUIT BUD!!!!,65.99,United States,United States
scoobydoodrugs,Drugs and Chemicals,Stimulants,Meth,Meth,10 GRAM Cristal Meth (ICE)*** HIGH QUALITY***,417.78,Germany,Worldwide
tomandjerry,Drugs and Chemicals,Ecstasy,MDMA,MDMA,Ounce (28 grams) High Quality MDMA [84%],295.00,Netherlands,Worldwide
Drugbuster,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1g *FINEST COLOMBIAN COCAINE *94% PURITY* UK-UK,119.97,United Kingdom,United Kingdom
LaMadrina,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,5G Hash Marocain HQ,54.49,France,France
CanadianSmoker12,Drugs and Chemicals,,,Drugs and Chemicals,240 G WHITE RUNTZ (EXOTIC BEST PRICE ON TORREZ),700.00,,North America
EUROSHOPPER,Drugs and Chemicals,Ecstasy,,Ecstasy,1000x XTC - GREY MASERATI - 270MG MDMA,598.48,Germany,Europe
kdw247,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,★★★25g JUICY MANGO KUSH 23% THC ++HQ++★★★,236.14,Germany,Europe
bighorndodge,Drugs and Chemicals,Stimulants,Crack,Crack,2 Grams Crack Cocaine,240.00,United States,United States
probitexchange,Drugs and Chemicals,Benzos,Pills,Pills,BULK SALES!! 250 x 2mg Xanax bars US - $1.95/BAR,488.00,United States,United States
ThreeKings,Drugs and Chemicals,Steroids,,Steroids,Proviron Mesterolone 25mg/20 tabs - Bayer,24.22,Latvia,Worldwide
greenhorse,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,KETAMINE SHARD 20G,366.97,United Kingdom,United Kingdom
cannacabana,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,28G/ 1 OZ Willie Diesel Dispensary grade,200.00,United States,United States
WhiteLotus,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,1ml 1:1 THC:CBD VAPE CART,28.23,United Kingdom,United Kingdom
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,20ml Caramel Coffee THC VAPE JUICE - FREE NDD UK,127.03,United Kingdom,United Kingdom
superschwiizer,Drugs and Chemicals,Stimulants,Speed,Speed,5g Speed dry 81% for 100 CHF,111.33,Switzerland,Switzerland
FGWL,Drugs and Chemicals,Ecstasy,Pills,Pills,750x Punisher XTC Pills 300mg MDMA Silver,047.49,Germany,Europe
SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,GHRP-6 – 10 mg – Bio-Peptide – expires 07/2021,30.27,Netherlands,Worldwide
Island_Paradise,Drugs and Chemicals,Ecstasy,MDMA,MDMA,[100 GRAMS] ★ MDMA CHAMPAGNE ROCKS HIGH QUALITY ★,605.48,Germany,Worldwide
Hogwartsexpress,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,56G SHAKE SUPER POTENT AMNESIA HAZE AAAA ++++,190.54,United Kingdom,Worldwide
pillplugpaul,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,25x Pressed Oxycodone m30  (Good Press),265.00,United States,North America
thelab1,Drugs and Chemicals,Stimulants,,Stimulants,3F-PVP - 5g,240.00,China,Worldwide
ElizabethQueen2,Drugs and Chemicals,Stimulants,Speed,Speed,250g Fire Speed***ElizabethQueen2 ** Super High Qu,352.85,United Kingdom,United Kingdom
ScotchAndCoca,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,25 gram Ketamine sugar (87%),434.74,Netherlands,Worldwide
deinFreund,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,The Cat In The Bag (Die Katze im Sack),121.10,Germany,Europe
LucySkyDiamonds,Drugs and Chemicals,Psychedelics,LSD,LSD,50 mickey LSD tab 260 micro grams,312.00,United Kingdom,Worldwide
TopGear,Drugs and Chemicals,,,Drugs and Chemicals,"3.5g COCAINE, 96% PURE, SPECIAL OFFER",307.69,United Kingdom,United Kingdom
RUBBERBANDS,Drugs and Chemicals,Stimulants,Meth,Meth,14 GRAMS crystal meth Superlab big shards,375.00,United States,United States
fastmeds,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Generic Phenergan - Promethazine 25mg 50 tabs,25.00,India,Worldwide
inc,Drugs and Chemicals,Ecstasy,MDMA,MDMA,MDMA 2G - BLACK BELGIUM IMPORT - INC.,154.15,Australia,Australia
Venture,Drugs and Chemicals,Psychedelics,2C-B,2C-B,25st 🔥 Badman 2cb pills 🔥,60.55,Netherlands,Worldwide
LaFarmacia,Drugs and Chemicals,Stimulants,Meth,Meth,1g crystal diamond meth methamphetamine,30.00,United States,United States
TheHighCollective,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1/8 OZ KRASHBERRY 30% thc | 33% Cannabinoids $40,40.00,United States,"North America, Belgium, Switzerland, Germany, Denmark, Spain, Finland, France, United Kingdom, Greece, Guam, Ireland, Isle of Man, British Indian Ocean Territory, Iceland"
LittleBits,Drugs and Chemicals,Psychedelics,2C-B,2C-B,2cb Powder (HCL) 0.5g,84.68,United Kingdom,United Kingdom
LuckyBandits,Drugs and Chemicals,Ecstasy,MDMA,MDMA,500 Gram MDMA,511.81,Germany,Worldwide
FrankCostello,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Oxycontin 3x 80mg (oxycodone) Xpress Post,49.35,Canada,Canada
MadeInFrance,Drugs and Chemicals,Benzos,Pills,Pills,Flormidal (Dormicum) 120 x 15 mg,435.95,France,Worldwide
Lucky7,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,50 Gr Very Pure HQ Colombian Cocaine 90%,027.42,Netherlands,Worldwide
cocokingz,Drugs and Chemicals,Stimulants,Meth,Meth,0.5gr CRYSTAL METH ICE MEXICAN FREE SHIP SAMPLE,20.59,Netherlands,Worldwide
TheodorMorell,Drugs and Chemicals,Opiates,Heroin,Heroin,2GR High Quality AFGHAN Heroine #1 55%,26.64,Netherlands,Worldwide
California420Service,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,ROVE TANGIE Disposable 0.35g pen SATIVA,77.00,United States,Worldwide
OzLotto,Drugs and Chemicals,Ecstasy,MDMA,MDMA,Premium Crystal MDMA,92.49,Australia,Australia
Island_Paradise,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,[100 GRAMS] ★ KETAMINE HIGH QUALITY NEEDLE ★,210.97,Germany,Worldwide
theworldisyours6,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,5g Green Poison 29.3 % THC,48.44,,Worldwide
UKDRUGSERVICE,Drugs and Chemicals,,,Drugs and Chemicals,- 0.5 gram - SOCIABLE COCAINE 50-60% PURITY.,63.51,United Kingdom,Worldwide
darkapo,Drugs and Chemicals,Stimulants,,Stimulants,1 Blister = 13 Kapseln Medikinet a.10mg (Ritalin),42.38,Germany,Germany
Apidae,Drugs and Chemicals,Psychedelics,DMT,DMT,500mg Changa 1:1 Herb Blends,44.93,Australia,Australia
StealthPharmacy,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Tadalafil (Cialis) 20mg X 30 Tabs,40.93,United Kingdom,Europe
COUNTYLINE,Drugs and Chemicals,Psychedelics,LSD,LSD,INTRO 500x // LSD WHITE FLUFF SUNRISE 250UGL TABS,199.70,United Kingdom,United Kingdom
SuperLab,Drugs and Chemicals,Stimulants,Meth,Meth,Uncut Lab Ephedrine Meth 1lb,499.00,United States,United States
cocokingz,Drugs and Chemicals,Stimulants,Meth,Meth,10gr CRYSTAL METH ICE MEXICAN FREE SHIP SAMPLE,333.02,Netherlands,Worldwide
Bundesliga,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,🏆 2GR // PREMIUM COCAINE UNCUT COLUMBIAN 90%+,145.32,Germany,Europe
NextLevel,Drugs and Chemicals,Stimulants,,Stimulants,10x Methylphenidate 10mg - Ritalin - Pharmacy Pres,30.27,Netherlands,Worldwide
actioneu,Drugs and Chemicals,Stimulants,Meth,Meth,100gr Crystal Meth ICE - 98% PURE BEST ICE,027.41,Netherlands,Worldwide
The_High_Collective,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1 OZ LA KUSH 25% THC INDOOR HYDRO,250.00,United States,"Europe, North America"
drkend,Drugs and Chemicals,,,Drugs and Chemicals,Buy Am-2201 Online (1 kg ),700.00,Canada,Worldwide
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,2g Gushers REAL CALI IMPORT - UK,77.63,United Kingdom,United Kingdom
positivevibes420,Drugs and Chemicals,Ecstasy,MDMA,MDMA,30X 100 MG MDMA CAPSULES READY TO ROLL!,215.00,United States,United States
Pygmalion,Drugs and Chemicals,Psychedelics,DMT,DMT,0.5g Changa Wanga 50% DMT from Germany to World,33.91,Germany,Worldwide
ThreeKings,Drugs and Chemicals,Steroids,,Steroids,Trenbolone Acetate 100mg/ml 10ml - LINIMENT,33.91,Latvia,Worldwide
Chemicalexpress,Drugs and Chemicals,Ecstasy,MDMA,MDMA,5 GR. MDMA 90% Pure champagne,48.44,Netherlands,Worldwide
SunshineShop,Drugs and Chemicals,Psychedelics,LSD,LSD,25x 100ug Mickeys White Fluff LSD-25,52.07,Germany,Worldwide
International55,Drugs and Chemicals,,,Drugs and Chemicals,25g Amnesia flash Special Price.,135.63,Spain,Worldwide
PremierLeagueWorldWide,Drugs and Chemicals,Ecstasy,MDMA,MDMA,100Grams Mdma Crystal TRACK EXTRA DECOY,679.58,United Kingdom,Worldwide
OpiateClinic,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,OXYCODONE M30 New batch stronger not for noobs!,12.00,United States,North America
AlphaGear,Drugs and Chemicals,Steroids,,Steroids,DARK ALIEN HGH 120iu KIT  HUMAN GROWTH HORMONE 12i,265.00,United States,United States
mdacanada,Drugs and Chemicals,Benzos,Pills,Pills,for a hard erection. Viagra 250 x 20mg.,304.31,Canada,Canada
ausorganiccbd,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,*NEW* KriticalKush THC VAPE JUICE Concentrate 90ML,308.30,Australia,Australia
Coffeshop,Drugs and Chemicals,Stimulants,Speed,Speed,listing thefact  250 speed 4coke 1 mdma and 2 pils,508.61,Germany,Worldwide
STIMZ,Drugs and Chemicals,Stimulants,Speed,Speed,STIMZ AMPHETAMINE POWDER 250G,050.09,United Kingdom,United Kingdom
ukcartel1,Drugs and Chemicals,,,Drugs and Chemicals,EZTEST Kit For GHB (10 Test Pack),35.29,United Kingdom,United Kingdom
JessyBakery,Drugs and Chemicals,Ecstasy,MDMA,MDMA,* 2GR MDMA 89% Pure Champagne * FREE SHIPPING WORL,19.38,Netherlands,Worldwide
messi84,Drugs and Chemicals,,,Drugs and Chemicals,Ketamine - S 2 Gram $160 US to US,160.00,United States,United States
Mont-Blanc,Drugs and Chemicals,Ecstasy,Pills,Pills,250x Blue Punisher 290mg XTC Pills 🔥 PROMOTION 🔥,422.63,Germany,Europe
fastmeds,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Mormox 500 mg 50 tabs (Amoxicillin - Amoxil),19.00,India,Worldwide
LucySkyDiamonds,Drugs and Chemicals,Psychedelics,LSD,LSD,10 Ghostbusters LSD tab 350 micro grams,80.00,United Kingdom,Worldwide
WizardryGoodies,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,x200 (5) New Other Distillate Made Edible Choices,975.97,United Kingdom,United Kingdom
MasterMeds,Drugs and Chemicals,Opiates,,Opiates,DIPYANONE HCL 5 grams,250.00,China,Worldwide
SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,Bacteriostatic water – 10 ml – SP Labs - exp. 2024,36.33,Netherlands,Worldwide
chillerking,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,25g ★ Critical Kush ★,308.80,Switzerland,Switzerland
ckakokingz,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,100X80mg Oxycodone Pharma Grade,800.00,United States,Worldwide
AlphaGear,Drugs and Chemicals,Steroids,,Steroids,GP - NOLVADEX 30 count 20mg per hard tablet Anti E,89.00,United States,United States
letsgetbaked,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,AK 47 sativa dominant hybrid,14.82,United Kingdom,"United Kingdom, United States"
Trapgod,Drugs and Chemicals,Psychedelics,DMT,DMT,0.5g DMT very high QUALITY - 60% purity,54.49,Germany,Worldwide
mollymob,Drugs and Chemicals,Ecstasy,MDMA,MDMA,700 grams of Dutch MDMA - High quality Champagne,797.33,Netherlands,Worldwide
2GD4DN,Drugs and Chemicals,Psychedelics,LSD,LSD,Strong ♦ HQ ♦ 2 x 200ug Mayan Calendar ♦ Free Ship,14.53,Netherlands,Worldwide
High00,Drugs and Chemicals,,,Drugs and Chemicals,GHB 100ML WITH 99% PURITY ( US - US ) fre shippin,185.00,United States,United States
premierpharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,zomorph 10mg x 20 caps,69.16,United Kingdom,United Kingdom
ONEMILLION,Drugs and Chemicals,Stimulants,Speed,Speed,25 GR - PURE Dutch Speed Paste [NO ADDITIVES],121.10,Germany,Europe
California420Service,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,SMOKIEZ CANNABIS INFUSED JAMBERRY FRUIT CHEWS,50.00,United States,Worldwide
ShroomPros,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,2G Premium White Cambos,25.00,United States,North America
sinsemillastreet,Drugs and Chemicals,Ecstasy,MDMA,MDMA,5g MDMA (molly) cocacola,66.60,Spain,Europe
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1g - Strawberry Banana HQ NDD UK2UK,21.17,United Kingdom,United Kingdom
