vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to
EUROSHOPPER,Drugs and Chemicals,Psychedelics,2C-B,2C-B,3000x 2C-B - RED NASA ROCKET 26MG,541.13,Germany,Europe
GreenBritain,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Super Silver Haze A++ Limited Offer,18.35,United Kingdom,United Kingdom
drugpluguk,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,✶28G AMNESIA HAZE CANNABIS✶,430.48,United Kingdom,Worldwide
hollandgood,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1GR PURE UNCUT COCAINE,84.77,Netherlands,Worldwide
CanadianSmoker12,Drugs and Chemicals,,,Drugs and Chemicals,2 OZ Peanut Budder Breath 27% THC *WW SHIPPING*,560.00,,Worldwide
drkend,Drugs and Chemicals,Stimulants,,Stimulants,Buy 4F-PVP OnlineBuy Diclazepam Online Buy 4cLpvp,350.00,China,Worldwide
AlwaysOverweight,Drugs and Chemicals,Ecstasy,MDMA,MDMA,7g MDMA | NL Champagne Enhanced Sensations ★94%★,164.49,Canada,Canada
NarcoticsWorldwide,Drugs and Chemicals,Ecstasy,MDMA,MDMA,500 GRAMS || MDMA CRYSTAL CHAMPAGNE || TOP QUALITY,421.93,Germany,Worldwide
MrImpossible,Drugs and Chemicals,Psychedelics,LSD,LSD,250 x 150ug Wizard LSD,541.50,Australia,Australia
mdacanada,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,percocet  perfect copy 150 x 5mg.,821.65,Canada,Canada
mdacanada,Drugs and Chemicals,Stimulants,Meth,Meth,500g crystal meth 100% pure Xpress Post Free,757.30,Canada,Canada
BestBudz,Drugs and Chemicals,Cannabis & Hash,Seeds,Seeds,ZKITTLEZ 100 x SEEDS - FEMINIZED - CALI USA,181.65,Germany,Germany
California420Service,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,ROVE DREAM Disposable 0.35g pen HYBRID,77.00,United States,Worldwide
PlanetHollywood,Drugs and Chemicals,Stimulants,Meth,Meth,7g Crystal Meth - AAA Methamphetamine,140.00,United States,United States
WeedZilla777,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,++GRAND OPENING+SALE+15G-115€++SUPERSILVER-HAZE++,139.26,Germany,Europe
AmazonPrimePlus,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,"15 Novartis 30mg capsules Ritalin LA, 15 for $148",148.00,United States,United States
Mont-Blanc,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,20 gram Premium Ketamine S-isomere sugar 98% pure,339.07,Germany,Europe
Licensedbud,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Death Bubba 14g  free shipping,141.00,,Worldwide
richhigh999,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Oxycodone Percocet 10/325mg 28 pills,350.00,,Worldwide
